Hike,AdditionalTrails,Year,DayofYear,TripReportBy,Link,RoadSummary,BugsSummary,SnowSummary,NumPics,FlowersinPics,SnowinPicsonTrail,FlowersMentioned,SnowMentioned,Positive_Negative,OtherMentioned,Notes
Naches Peak Loop,,2019,August 14,e1ev-e1ev,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-14.2513991741,Suitable for all vehicles,Bugs were an annoyance,Snow free,1,1,0,Flowers and butterflies still plentiful in shadier and more moist areas,none,Sun cover is a great idea,none,
Naches Peak Loop,,2019,August 12,TheKingBoar,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-13.5506728370,Suitable for all vehicles,No bugs,Snow free,4,4,0,"The northern flank of the peak has just incredible flowers, even though they look like they are starting to fade already. In some areas they flow over the slopes on the edges of the trail like a waterfall of flower and color. ",none,We never got to see the whole peak uncovered but clouds did part in the afternoon leading to some great views.,none,This report combined with one about Dewey Lake
Naches Peak Loop,,2019,August 12,VentureBold,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-13.7202150841,Suitable for all vehicles,No bugs,Snow free,4,4,0,"The flowers on the north flank are the best I have ever seen. Those on the south side are pretty, but past peak.
",none,"That said, I had issues with omissions on the WTA description. First, I wish they wouldn't assume all hikers live in Seattle. ",none,
Naches Peak Loop,,2019,August 12,TravelandhikewithPCOS,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-21.4972963221,Suitable for all vehicles,No bugs,Snow free,4,4,0,"Wildflowers are in full bloom at Naches Peak Loop. Starting right from Wooden bridge over Chinook Pass on Pacific Crest trail, we got to see colorful wildflowers; As we passed through the trails, there were sections bloomed with purple lupines, pink and orange paint brush and chamomiles.  The feeling was like we were walking in kingdom of flowers. ",none,The unnamed lake was very beautiful with clear waters and surrounding green vegetation.  ,none,
Naches Peak Loop,,2019,August 9,imawahine,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-10.7979695298,Suitable for all vehicles,Bugs were not too bad,Snow free,0,0,0,none,none,"Great day to hike this trail, sunny but breezy; it is a mild ascent but you will appreciate your views of Mt. Rainier on the descent",none,
Naches Peak Loop,,2019,August 7,JoeHendricks,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-08.4361209939,Suitable for all vehicles,Bugs were not too bad,Snow free,4,3,0,"Flower power! I've included almost 5min of video highlights below; Wildflowers: our favorite was seeing the uncommon American Speedwell, a coudin to Rainier's famous & common Cusicks Speedwell. Lupine, paintbrush, bistort, valerian, monkeyflower, columbine, larkspur, tiger lily, partridge foot, subalpine daisy, pasqueflower, bear grass, white rhododendron, arnica, groundsel.. and others I've forgotten.  ",none,What a great family friendly trail to see so many wildflowers right now! Small children will love seeing all the ground squirrels and butterflies,none,There is a video too! There are lots of wildflowers in the video although I decided to ignore these for now.
Naches Peak Loop,,2019,August 6,ChelseaE06,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-19.5676718726,Suitable for all vehicles,Bugs were an annoyance,Snow free,3,4,0,Wildflowers were amazing!!  ,none,"Great day hike with The Mountaineers! After the detour is when we got our first views of Rainier, and WOW! Bugs were only bad at the lake, otherwise they were not bothersome. Definitely do this hike! It’s one of my favorites now! ",none,This report was combined with one for Dewey Lake
Naches Peak Loop,,2019,August 6,old man,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-06.9090333791,Suitable for all vehicles,Bugs were not too bad,Snow free,3,4,0,none,none,Wow!,none,
Naches Peak Loop,,2019,August 5,Rayan,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-07.2129500047,Suitable for all vehicles,Bugs were an annoyance,Snow free,4,4,0,"After topping the hill, there is a section through meadows thick with flowers; The flowers on this side of the loop are peak right now, vibrant and full of color; The flowers start getting sparser on the return portion of the loop, probably hotter with less shelter and shade.",none,"The bugs started getting annoying here; But the views of Rainier more than make up for it, and you get them the entire walk back; Well worth the drive, even for the short hiking distance",none,
Naches Peak Loop,,2019,August 4,Jillyo,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-06.1198182620,Suitable for all vehicles,Bugs were not too bad,Snow free,4,4,0,The wild flowers are out in full force right now! Just be respectful and stay on trail. I saw many groups of ppl walking on and through the flowers to take photos. ,none,"What a beautiful trail! This hike has pay off after pay off; The only downside to going counter clock wise is that you have to remember to turn around to take a look at Naches peak and Mt Rainier. Although, they were out in all their shining glory! There is literally not a bad place to take a photo on this whole hike. Bring sunscreen as there is hardly any tree coverage, and enjoy! ",none,
Naches Peak Loop,,2019,August 4,gizmoe2121,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-12.5201901012,Suitable for all vehicles,Bugs were not too bad,Snow free,4,4,0,none,none,"Not terrible considering it was a beautiful summer Sunday in Mt Rainier NP (you just have to expect the crowds at that point). Dewey Lake was totally worth the side trip, and much less populated; Bugs were not bad for me; Beautiful hike and would definitely recommend",none,
Naches Peak Loop,,2019,August 4,kidz won't hike,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-04.7324184252,Suitable for all vehicles,Bugs were not too bad,Snow free,4,4,0,Beautiful morning and the wildflowers were out along with great views of Mt Rainier.,none,"Maybe not the best decision to take the 10 year old on the steep hike first, but after a little complaining she was in high spirits toward the last part of the hike.We both had fun on a beautiful morning!!",none,
Naches Peak Loop,,2019,August 3,Granera,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-04.8554584997,Suitable for all vehicles,Bugs were an annoyance,Snow free,4,4,0,We hiked clockwise as many suggested and were astounded at meadow upon meadow of blooming wildflowers for nearly the entire hike.,none,This is a beautiful and easy hike with amazing views the whole way. Definitely need to return when the berries all along the trail are ripe; This was definitely worth an early morning to beat the crowds.,none,
Naches Peak Loop,,2019,August 3,AutumnO,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-04.0493735546,Suitable for all vehicles,Bugs were not too bad,Snow free,3,3,0,"Beautiful day on the trail, complete with lots of wildflowers and chipmunks. ",none,"This is an easy hike, without much in the way of elevation gain but spectacular views at all points along the trail; I was glad I arrived and left early.",none,
Naches Peak Loop,,2019,August 3,gpgp,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-04.3317111338,Suitable for all vehicles,Bugs were not too bad,Snow free,0,0,0,"Wildflower Nirvana! If you want to catch this popular trail at absolute peak wildflower bloom, NOW is the time to go. My wife and I have hiked this trail innumerable times over the years but never caught the wildflowers at quite this peak of perfection before. Lupines galore, Indian paintbrush, beargrass, you name it, it's out there. ",none,"And now for the bad: massive hordes of people; We did it clockwise and the first hour was not bad with even some moments of solitude. The second half of the hike - Grand Central Station at rush hour, so be warned. Worth it though for the astonishing beauty of the flowers.",none,
Naches Peak Loop,,2019,August 3,kayaknw,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-03.3855575253,Suitable for all vehicles,Bugs were not too bad,Snow free,4,4,0,Beautiful hike with flowers in full bloom!,none,none,none,
Naches Peak Loop,,2019,August 3,Lady Wizard,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-03.6189645385,Suitable for all vehicles,Bugs were not too bad,Snow free,0,0,0,none,none,This was a super easy but beautiful hike. Would love to do again and watch the seasons change.,none,
Naches Peak Loop,,2019,August 2,MaryJ,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-02.3179706871,Suitable for all vehicles,Bugs were not too bad,Snow free,1,4,0,The wildflowers are so pretty!! ,none,Today we couldn't see the mountain but that was ok; It was a great NW day for a hike!!,none,
Naches Peak Loop,,2019,August 1,Becky Andrade,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-01.5055548198,Suitable for all vehicles,No bugs ,Snow free,2,4,0,none,none,The clear skies and peak flower bloom combined to make this just a fabulous hike today - my favorite from among 4 previous times on this trail.,none,
Naches Peak Loop,,2019,July 31,AllOfUs,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-01.5263860911,Suitable for all vehicles,No bugs,Snow free,1,1,0,"Right now the flowers are amazing, too; If you want to see the flowers, don't hike at night. Everything is washed out in monochrome. We could see hints of purples and reds, that was about it.",none,"Naches Peak Loop is a great hike for so many reasons: a loop instead of out-and-back, a little over 3 miles, only 600 feet elevation gain; This trail is fun to hike during a full moon - you can do most of it without your headlamp, and the mountain is often lit up as well. I've also snowshoed this trail in June a few times, that is pretty exciting, too.",none,
Naches Peak Loop,,2019,July 30,jasper5150,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-07-30.1899634965,Suitable for all vehicles,Bugs were an annoyance,Snow free,0,0,0,none,none,"First time here, absolutely stunning. Did this clockwise for the best views of the mountain. Had to wait for the morning clouds to burn off but definitely worth the wait. Mosquitoes were annoying so recommend spray or light, long sleeves and pants.",none,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
Naches Peak Loop,,2019,,,,,,,,,,,,,,
